SER|NAME|SERVICE DESCRIPTION & DEFINITIONS|WHEN TO USE THIS CODE (EXAMPLES)|SERVICE PACKAGE ALLOWED|APPLIES TO MIN HOUR REQ?|STAFF|ADULT|CHILD|JAIL|JENNINGS|OCR|ICARE|MCOT|CRISIS RESID RESPITE|PROJECT LINK|MEDICAL STAFF
2911|CHILD & ADOL MH CASE MGMT INTENSIVE|Services to assist an individual in gaining and coordinating access to necessary care and services appropriate to the individual's identified needs. Service delivered are primarily community-based.|Assist individual in determining needs and develop a treatment plan for how to access services and service providers.Monitoring the individual's progress toward the outcomes in the client's MH case management plan.Client must be present in order to bill.|2.1, 2.2, 2.3, 2.4, |YES|Q or greater||X||||||||
2913|ADULT REHAB CRISIS INTERVENTION|Interventions provided in response to a crisis in order to reduce symptoms of severe and persistent mental illness or serious emotional disturbance and to prevent admission of an individual to a more restrictive environment.  Crisis intervention services may include an assessment of danger to self or others, coordination of emergency care, behavior skills training, problem solving, reality orientation, and providing guidance and structure to the individual in adapting to and coping with stressors.  This code is only used for MH RDM clients in SP 0, 1, or 2.  Additionally can be used for clients in SP 3 & 4 if the service is delivered by MHMRTC staff that is not currently on the client's treatment team.  Otherwise, staff serving SP 3 & 4 clients should use the psychosocial rehab code.  Can be provided by a Q-CSSP for crisis follow-up activities.  |Also used for making an incident report or for applying for a warrant.  Use project code 8.|0, 1, 2|YES|Q or greater|X|||X|X||X|X||
2914|CHILD & ADOL REHAB CRISIS INTERVENTION|Interventions provided in response to a crisis in order to reduce symptoms of severe and persistent mental illness or serious emotional disturbance and to prevent admission of an individual to a more restrictive environment.  Crisis intervention services may include an assessment of danger to self or others, coordination of emergency care, behavior skills training, problem solving, reality orientation, and providing guidance and structure to the individual in adapting to and coping with stressors|Also used for making an incident report or for applying for a warrant.  Use project code 8.|All C&A SPs|YES|Q or greater||X||||||||
2915|ADULT MEDICATION TRAINING & SUPPORT, INDIVIDUAL|Consists of instruction & guidance based on curricula promulgated by the Department.  The curricula includes the Patient / Family Education guidelines to assist an individual in understanding the nature of an  adult's severe and persistent mental illness, understanding the role in the client's prescribed medications in reducing symptoms and increasing or maintaining the client's functioning, identifying and managing the client's symptoms and potential side-effects of the client's medication, learning the contraindications of the client's medication, understanding overdose precautions of a client's medication, and learning self-administration of the client's medication.||All Adult SPs|YES|Q-CSSP or greater|X|||X|X|X|X|X||X
2916|CHILD & ADOLESCENT MEDICATION TRAINING & SUPPORT, INDIVIDUAL OR LAR|Consists of instruction & guidance based on curricula promulgated by the Department.  The curricula includes the Patient / Family Education guidelines to assist an individual in understanding the nature of a child or adolescent's serious emotional disturbance, understanding the role in the client's prescribed medications in reducing symptoms and increasing or maintaining the client's functioning, identifying and managing the client's symptoms and potential side-effects of the client's medication, learning the contraindications of the client's medication, understanding overdose precautions of a client's medication, and learning self-administration of the client's medication.||All C&A SPs|YES|Q-CSSP or greater||X||||||||X
2917|ADULT MEDICATION TRAINING & SUPPORT, GROUP|Training based on the curricula promulgated by the department which includes assisting the client in understanding the nature of an  adult's severe and persistent mental illness, understanding the role in the client's prescribed medications in reducing symptoms and increasing or maintaining the client's functioning, identifying and managing the client's symptoms and potential side-effects of the client's medication, learning the contraindications of the client's medication, understanding overdose precautions of a client's medication, and learning self-administration of the client's medication.||ALL|YES|Q-CSSP or greater|X|||X||||X||X
2918|CHILD & ADOLESCENT MEDICATION TRAINING & SUPPORT, GROUP|Training based on the curricula promulgated by the department which includes assisting the client in understanding the nature of an a child or adolescent's serious emotional disturbance, understanding the role in the client's prescribed medications in reducing symptoms and increasing or maintaining the client's functioning, identifying and managing the client's symptoms and potential side-effects of the client's medication, learning the contraindications of the client's medication, understanding overdose precautions of a client's medication, and learning self-administration of the client's medication.||ALL|YES|Q-CSSP or greater||X||||||||X
2919|ADULT PSYCHOSOCIAL REHAB SERVICES, INDIVIDUAL|Social, educational, vocational, behavioral, and cognitive interventions provided by members of a client's therapeutic team that address deficits in the client's ability to develop and maintain social relationships, occupational or educational achievement, and independent living skills that are the result of a severe and persistent mental illness in adults.  Psychosocial rehab services may also address the impact of co-occurring disorders upon the individual's ability to reduce symptomology and increase daily functioning.  Psychosocial rehab services consists of independent living services, coordination services, employment related services, medication.  This code is to be used only for MH clients in SP 3 or 4.  Clients in SP 0, 1, or 2 should use code 2913 or code 2923 for SP 1 & 2.  Medication related training must be provided by medical personnel.|Use Attendance Code 3 for Crisis Services.  Also use for making an incident report and for applying for a warrant. (Project Code 8 these two activities)|SP 3, 4|YES|Med related services must be provided by med personnel; other services that fall into this category must be performed by a Q-CSSP or greater|X|||X|X|||X||X
2920|ADULT PSYCHOSOCIAL REHAB SERVICES, GROUP|Social, educational, vocational, behavioral, and cognitive interventions provided by members of a client's therapeutic team that address deficits in the client's ability to develop and maintain social relationships, occupational or educational achievement, and independent living skills that are the result of a severe and persistent mental illness in adults.  Psychosocial rehab services may also address the impact of co-occurring disorders upon the individual's ability to reduce symptomology and increase daily functioning.  Psychosocial rehab services consists of independent living services, coordination services, employment related services, medication.  This code is to be used only for MH clients in SP 3 or 4.  Clients in SP 0, 1, or 2 should use code 2925. |Making an incident report.  Applying for a warrant (Project Code 8 these two activities.)|SP 3, 4|YES|Med related services must be provided by med personnel; other services that fall into this category must be performed by a Q-CSSP or greater|X|||X|X|||X||X
2923|ADULT SKILLS TRAINING & DEVELOPMENT, INDIVIDUAL|Training provided to an individual that addresses severe and persistent mental illness and symptom-related problems that interfere with the individual's functioning and living, working, and learning environment.  Such training also provides opportunities for individuals to acquire and improve skills needed to function as appropriately and independently as possible in the community and facilitates the individual's community integration and increases his or her community tenure. ||Add-on for SPs 1 & 2|YES|Q-CSSP or greater|X|||X|X|||X||X
2924|CHILD & ADOLESCENT SKILLS TRAINING & DEVELOPMENT, INDIVIDUAL OR LAR|Training provided to an individual that addresses serious emotional disturbance and symptom-related problems that interfere with the individual's functioning and living, working, and learning environment.  Such training also provides opportunities for individuals to acquire and improve skills needed to function as appropriately and independently as possible in the community and facilitates the individual's community integration and increases his or her community tenure. ||Add-ons for 1.1, 2.2|YES|Q or greater||X||||||||
2925|ADULT SKILLS TRAINING & DEVELOPMENT, GROUP|Training provided to an individual that addresses severe and persistent mental illness and symptom-related problems that interfere with the individual's functioning and living, working, and learning environment.  Such training also provides opportunities for individuals to acquire and improve skills needed to function as appropriately and independently as possible in the community and facilitates the individual's community integration and increases his or her community tenure. ||Add-ons for 1, 2|YES|Q-CSSP or greater|X|||X|X||X|X|X|X
2926|CHILD & ADOLESCENT SKILLS TRAINING & DEVELOPMENT, GROUP|Training provided to an individual that addresses serious emotional disturbance and symptom-related problems that interfere with the individual's functioning and living, working, and learning environment.  Such training also provides opportunities for individuals to acquire and improve skills needed to function as appropriately and independently as possible in the community and facilitates the individual's community integration and increases his or her community tenure. ||Add-ons for 1.1, 2.2|YES|Q or greater||X||||||||
3403|TREATMENT PLAN REVIEW|Requires FTF contact with the recipient/LAR of services for developing and for periodic review or update of the treatment plan.|To be used ONLY with treatment plan reviews|NA||Q or greater|X|X|X|X|X||X|X|X|
4414|Suicide Assessment Completed in Booking Area of Jail - -   Follow-up is Recommended|To be used by Forensic staff at the time a person is being booked into the jail to determine if the person has suicidal ideations and or plans.  Follow-up for further mental health treatment is recommended.||NONE- JAIL||Staff @ 422|||X|||||||
4415|Suicide Assessment Completed in Booking Area of Jail - - No Follow-up is Recommended|To be used by Forensic staff at the time a person is being booked into the jail to determine if the person has suicidal ideations and or plans.  No mental health follow-up is recommended.||NONE- JAIL||Staff @ 422|||X|||||||
4416|MH Assessment in Booking Area - - Follow-up Recommended|To be used by Forensic staff at the time a person is being booked into the jail to determine if the person has mental health issues that may need to be addressed.  Follow-up is recommended to determine if a person does have MH issues that need to be addressed.||NONE- JAIL||Staff @ 422|||X|||||||
4417|MH Assessment in Booking Area  - - No Follow-up is Recommended|To be used by Forensic staff at the time a person is being booked into the jail to determine if the person has mental health issues that may need to be addressed.  Follow-up is not recommended.||NONE- JAIL||Staff @ 422|||X|||||||
4418|Initial Suicide Assessment Completed in Jail with Follow-up  Recommended|To be used by Forensic staff after a person is booked into the jail to determine if the person has suicidal ideations that need to be addressed.  Follow-Up for further mental health treatment is recommended.||NONE- JAIL||Staff @ 422|||X|||||||
4438|MH Assessment Completed in Jail with Follow-up NOT Recommended|To be used by Forensic staff after a person is booked into the jail to determine if the person has mental health issues that need to be addressed.  No mental health follow-up is recommended.||NONE- JAIL||Staff @ 422|||X|||||||
4439|Suicide Assessment in Jail with Follow-Up NOT Recommended|To be used by Forensic staff after a person is booked into the jail to determine if the person has suicidal ideations that need to be addressed.  No mental health follow-up is recommended.||NONE- JAIL||Staff @ 422|||X|||||||
4440|Follow-Up Suicide Assessment|To be used by Forensic staff to determine if a person continues to have suicidal ideations and/or plans.||NONE- JAIL||Staff @ 422|||X|||||||
